CNT_EVTCLS          	 | 	10	 | 	0	 | 	Char	 | 	EVT_HIS.REP         	 | 	DYN_EVT_HIS         	 | 	Murex	 | 	DYN_TRNRP_MK        
CNT_ORG             	 | 	10	 | 	0	 | 	Numeric	 | 	EVT_HIS.REP         	 | 	DYN_EVT_HIS         	 | 	Murex	 | 	DYN_TRNRP_MK        
CONTRACT            	 | 	10	 | 	0	 | 	Numeric	 | 	EVT_HIS.REP         	 | 	DYN_EVT_HIS         	 | 	Murex	 | 	DYN_TRNRP_MK        
C_DESC              	 | 	10	 | 	0	 | 	Char	 | 	EVT_HIS.REP         	 | 	DYN_EVT_HIS         	 | 	Murex	 | 	DYN_TRNRP_MK        
MRPL_ONB            	 | 	10	 | 	0	 | 	Numeric	 | 	EVT_HIS.REP         	 | 	DYN_EVT_HIS         	 | 	Murex	 | 	DYN_TRNRP_MK        
NB                  	 | 	10	 | 	0	 | 	Numeric	 | 	EVT_HIS.REP         	 | 	DYN_EVT_HIS         	 | 	Murex	 | 	DYN_TRNRP_MK        
TP_PFOLIO           	 | 	15	 | 	0	 | 	Char	 | 	EVT_HIS.REP         	 | 	DYN_EVT_HIS         	 | 	Murex	 | 	DYN_TRNRP_MK        
V_SYSTIME           	 | 	8	 | 	0	 | 	Char	 | 	EVT_HIS.REP         	 | 	DYN_EVT_HIS         	 | 	Murex	 | 	DYN_TRNRP_MK        
V_ACTDT             	 | 	8	 | 	0	 | 	Date	 | 	EVT_HIS.REP         	 | 	DYN_EVT_HIS         	 | 	Murex	 | 	DYN_TRNRP_MK        
V_ACTION            	 | 	3	 | 	0	 | 	Numeric	 | 	EVT_HIS.REP         	 | 	DYN_EVT_HIS         	 | 	Murex	 | 	DYN_TRNRP_MK        
V_ACTOR             	 | 	10	 | 	0	 | 	Char	 | 	EVT_HIS.REP         	 | 	DYN_EVT_HIS         	 | 	Murex	 | 	DYN_TRNRP_MK        
V_AVQTY             	 | 	22	 | 	8	 | 	American	 | 	EVT_HIS.REP         	 | 	DYN_EVT_HIS         	 | 	Murex	 | 	DYN_TRNRP_MK        
V_CNT_DEST          	 | 	10	 | 	0	 | 	Char	 | 	EVT_HIS.REP         	 | 	DYN_EVT_HIS         	 | 	Murex	 | 	DYN_TRNRP_MK        
V_CNT_SRC           	 | 	10	 | 	0	 | 	Char	 | 	EVT_HIS.REP         	 | 	DYN_EVT_HIS         	 | 	Murex	 | 	DYN_TRNRP_MK        
V_DATE              	 | 	8	 | 	0	 | 	Date	 | 	EVT_HIS.REP         	 | 	DYN_EVT_HIS         	 | 	Murex	 | 	DYN_TRNRP_MK        
V_EVSTLAMT          	 | 	19	 | 	3	 | 	American	 | 	EVT_HIS.REP         	 | 	DYN_EVT_HIS         	 | 	Murex	 | 	DYN_TRNRP_MK        
V_EVSTLCUR          	 | 	3	 | 	0	 | 	Char	 | 	EVT_HIS.REP         	 | 	DYN_EVT_HIS         	 | 	Murex	 | 	DYN_TRNRP_MK        
V_EVSTLDTE          	 | 	8	 | 	0	 | 	Date	 | 	EVT_HIS.REP         	 | 	DYN_EVT_HIS         	 | 	Murex	 | 	DYN_TRNRP_MK        
V_EVSTLIND          	 | 	2	 | 	0	 | 	Numeric	 | 	EVT_HIS.REP         	 | 	DYN_EVT_HIS         	 | 	Murex	 | 	DYN_TRNRP_MK        
V_EVSTLNB           	 | 	2	 | 	0	 | 	Numeric	 | 	EVT_HIS.REP         	 | 	DYN_EVT_HIS         	 | 	Murex	 | 	DYN_TRNRP_MK        
V_EVT_CLS           	 | 	10	 | 	0	 | 	Char	 | 	EVT_HIS.REP         	 | 	DYN_EVT_HIS         	 | 	Murex	 | 	DYN_TRNRP_MK        
V_EVT_OREF          	 | 	10	 | 	0	 | 	Numeric	 | 	EVT_HIS.REP         	 | 	DYN_EVT_HIS         	 | 	Murex	 | 	DYN_TRNRP_MK        
V_EVT_REF           	 | 	10	 | 	0	 | 	Numeric	 | 	EVT_HIS.REP         	 | 	DYN_EVT_HIS         	 | 	Murex	 | 	DYN_TRNRP_MK        
V_EVT_VER           	 | 	6	 | 	0	 | 	Numeric	 | 	EVT_HIS.REP         	 | 	DYN_EVT_HIS         	 | 	Murex	 | 	DYN_TRNRP_MK        
V_IMPQTY            	 | 	22	 | 	8	 | 	American	 | 	EVT_HIS.REP         	 | 	DYN_EVT_HIS         	 | 	Murex	 | 	DYN_TRNRP_MK        
V_LAT               	 | 	1	 | 	0	 | 	Numeric	 | 	EVT_HIS.REP         	 | 	DYN_EVT_HIS         	 | 	Murex	 | 	DYN_TRNRP_MK        
V_STP_STS           	 | 	20	 | 	0	 | 	Char	 | 	EVT_HIS.REP         	 | 	DYN_EVT_HIS         	 | 	Murex	 | 	DYN_TRNRP_MK        
V_STP_STS0          	 | 	20	 | 	0	 | 	Char	 | 	EVT_HIS.REP         	 | 	DYN_EVT_HIS         	 | 	Murex	 | 	DYN_TRNRP_MK        
V_STP_STS1          	 | 	1	 | 	0	 | 	Char	 | 	EVT_HIS.REP         	 | 	DYN_EVT_HIS         	 | 	Murex	 | 	DYN_TRNRP_MK        
V_STP_STS2          	 | 	1	 | 	0	 | 	Char	 | 	EVT_HIS.REP         	 | 	DYN_EVT_HIS         	 | 	Murex	 | 	DYN_TRNRP_MK        
V_STP_STS3          	 | 	1	 | 	0	 | 	Char	 | 	EVT_HIS.REP         	 | 	DYN_EVT_HIS         	 | 	Murex	 | 	DYN_TRNRP_MK        
V_STP_STS4          	 | 	1	 | 	0	 | 	Char	 | 	EVT_HIS.REP         	 | 	DYN_EVT_HIS         	 | 	Murex	 | 	DYN_TRNRP_MK        
V_SYSDATE           	 | 	8	 | 	0	 | 	Date	 | 	EVT_HIS.REP         	 | 	DYN_EVT_HIS         	 | 	Murex	 | 	DYN_TRNRP_MK        
V_TRD_REF           	 | 	10	 | 	0	 | 	Numeric	 | 	EVT_HIS.REP         	 | 	DYN_EVT_HIS         	 | 	Murex	 | 	DYN_TRNRP_MK        
V_TSD               	 | 	8	 | 	0	 | 	Date	 | 	EVT_HIS.REP         	 | 	DYN_EVT_HIS         	 | 	Murex	 | 	DYN_TRNRP_MK        
V_TSH               	 | 	8	 | 	0	 | 	Char	 | 	EVT_HIS.REP         	 | 	DYN_EVT_HIS         	 | 	Murex	 | 	DYN_TRNRP_MK        
V_TST               	 | 	8	 | 	0	 | 	Numeric	 | 	EVT_HIS.REP         	 | 	DYN_EVT_HIS         	 | 	Murex	 | 	DYN_TRNRP_MK        
V_VERSION           	 | 	6	 | 	0	 | 	Numeric	 | 	EVT_HIS.REP         	 | 	DYN_EVT_HIS         	 | 	Murex	 | 	DYN_TRNRP_MK        
XG_FIXRT1           	 | 	16	 | 	5	 | 	Numeric	 | 	FIXING.REP          	 | 	DYN_FIXING          	 | 	Murex	 | 	DYN_TRNRP_XG        
XG_FIXRT2           	 | 	16	 | 	5	 | 	Numeric	 | 	FIXING.REP          	 | 	DYN_FIXING          	 | 	Murex	 | 	DYN_TRNRP_XG        
XG_INDEX            	 | 	20	 | 	0	 | 	Char	 | 	FIXING.REP          	 | 	DYN_FIXING          	 | 	Murex	 | 	DYN_TRNRP_XG        
